category_code	name
1011	"Розгляд прийнятих заяв про видачу судового наказу"
1019	"на іншу вимогу"
1012	"компенсацію витрат на проведення розшуку відповідача, боржника, дитини або транспортних засобів боржника"
1017	"стягнення нарахованої, але не виплаченої працівникові суми заробітної плати"
1018	"на вимогу, яка ґрунтується на правочині, вчиненому у письмовій формі"
4067	"Розрахунки за продукцію, товари, послуги"
4087	"Скасування державної реєстрації"
4090	"Спір пов’язаний з реалізацією корпоративних прав"
4112	"Спір про визнання акта недійсним, документ, що оспорюється, видано:"
4122	"Сплата ПДВ"
4091	"Спонукання виконати певні дії, що не випливають з договірних зобов’язань"
1044	"Спори про відшкодування шкоди"
1045	"Спори про відшкодування шкоди завданої внаслідок вчинення злочину"
1046	"Спори про відшкодування шкоди завданої внаслідок недоліків товарів, робіт (послуг)"
1047	"Спори про відшкодування шкоди завданої каліцтвом, іншим ушкодженням здоров’я або смертю фізичної особи, крім відшкодування шкоди на виробництві"
1048	"Спори про відшкодування шкоди завданої майну фізичних або юридичних осіб"
1049	"Спори про відшкодування шкоди завданої порушенням законодавства про охорону навколишнього природного середовища"
1050	"Спори про відшкодування шкоди незаконними рішеннями, діями чи бездіяльністю органу дізнання, досудового слідства, прокуратури або суду"
1051	"Спори про захист честі, гідності та ділової репутації"
1052	"Спори про захист честі, гідності та ділової репутації до засобів масової інформації"
1057	"Спори про право інтелектуальної власності"
1058	"Спори про право інтелектуальної власності: спори про авторське право"
1053	"Спори про право власності та інші речові права"
1054	"Спори про право власності та інші речові права про державну власність"
1055	"Спори про право власності та інші речові права про комунальну власність"
1056	"Спори про право власності та інші речові права про приватну власність"
4077	"Спори про право на об'єкти інтелектуальної власності, розпорядження  майновими  правами  інтелектуальної власності, комерційну  концесію"
1060	"Спори про спадкове право"
1061	"Спори, що виникають із договорів"
1062	"Спори, що виникають із договорів дарування"
1063	"Спори, що виникають із договорів довічного утримання"
1064	"Спори, що виникають із договорів купівлі-продажу"
1065	"Спори, що виникають із договорів надання послуг"
1066	"Спори, що виникають із договорів найму (оренди)"
1067	"Спори, що виникають із договорів позики, кредиту, банківського вкладу"
1068	"Спори, що виникають із договорів страхування"
1069	"Спори, що виникають із житлових правовідносин"
1070	"Спори, що виникають із житлових правовідносин про визнання особи такою, що втратила право користуванням жилим приміщенням"
1072	"Спори, що виникають із житлових правовідносин про стягнення плати за користування житлом"
1073	"Спори, що виникають із земельних правовідносин"
1075	"Спори, що виникають із сімейних правовідносин"
1076	"Спори, що виникають із сімейних правовідносин про встановлення батьківства або материнства"
1077	"Спори, що виникають із сімейних правовідносин про позбавлення батьківських прав"
1078	"Спори, що виникають із сімейних правовідносин про розірвання шлюбу"
1080	"Спори, що виникають із трудових правовідносин"
1081	"Спори, що виникають із трудових правовідносин про виплату заробітної плати"
1083	"Спори, що виникають із трудових правовідносин про поновлення на роботі"
4110	"Справи про банкрутство"
1024	"Справи про відновлення прав на втрачені цінні папери на пред’явника та векселі"
1023	"Справи про визнання фізичної особи безвісно відсутньою чи оголошення її померлою"
1025	"Справи про встановлення фактів, що мають юридичне значення"
3002	"Справи про дострокове припинення повноважень народного депутата України"
1027	"Справи про надання особі психіатричної допомоги в примусовому порядку"
1028	"Справи про обмеження цивільної дієздатності фізичної особи, визнання фізичної особи недієздатною та поновлення цивільної дієздатності фізичної особи"
1029	"про визнання фізичної особи недієздатною"
1030	"про обмеження цивільної дієздатності фізичної особи"
1031	"про поновлення цивільної дієздатності"
3003	"Справи про обмеження щодо реалізації права на мирні зібрання"
1032	"Справи про обов’язкову госпіталізацію до протитуберкульозного закладу"
1033	"Справи про передачу безхазяйної нерухомої речі у комунальну власність"
1034	"Справи про скасування рішення про визнання фізичної особи безвісно відсутньою чи оголошення її померлою"
4083	"Визнання права власності"
1035	"Справи про розкриття банком інформації, яка містить банківську таємницю, щодо юридичних та фізичних осіб"
1036	"Справи про усиновлення"
3004	"Справи про усунення обмежень у реалізації права на мирні зібрання"
3006	"Справи щодо оскарження рішень (нормативно-правових актів)"
3012	"Справи щодо оскарження рішень, дій або бездіяльності суб’єктів владних повноважень"
3015	"Справи щодо укладання та виконання адміністративних договорів"
3020	"Справи, пов'язані з виборчим процесом чи процесом референдуму"
3016	"Справи, пов’язані з публічною службою"
1037	"Справи, що виникають із сімейних правовідносин"
1038	"Справи, що виникають із сімейних правовідносин встановлення режиму окремого проживання за заявою подружжя"
1040	"Справи, що виникають із сімейних правовідносин поновлення шлюбу після його розірвання"
1041	"Справи, що виникають із сімейних правовідносин розірвання шлюбу за заявою подружжя, яке має дітей"
2057	"Створення злочинної організації"
4016	"Стягнення пені"
4108	"Спільна діяльність"
4070	"Спільна діяльність"
2058	"Терористичний акт"
4078	"Товарні марки і розпорядження правами на них"
2038	"Торгівля людьми або інша незаконна угода щодо людини"
4075	"У т.ч про визнання недійсним правоохоронного"
4007	"У т.ч. за інозем. кредитом під держ. гарантії"
4045	"У т.ч. ліцензування"
4042	"У т.ч. на обов'язкове пенсійне страхування"
4100	"У т.ч. об’єкту приватизації"
4031	"У т.ч. про акцизний збір"
4032	"У т.ч. про відшкодування ПДВ та відсотків"
4080	"У т.ч. про визнання недійсним свідоцтва"
4033	"У т.ч. про застосування 0 % ставки ПДВ"
4034	"У т.ч. про оподаткування фізичних осіб"
4035	"У т.ч. про податок на прибуток"
4036	"У т.ч. про рентні платежі"
4037	"У т.ч. про сплату (стягнення) ПДВ"
4038	"У т.ч. про узгодження сум податкових зобов’язань"
4039	"У т.ч. про фіксований сільскогосподарький податок"
4057	"У тому числі векселів"
3011	"укази і розпорядження Президента України"
2002	"Умисне вбивство"
2003	"Умисне тяжке тілесне ушкодження"
3031	"уточнення списку виборців"
2049	"Ухилення від військової служби (усі види), з них"
2011	"Ухилення від сплати податків, зборів, інших обов'язкових платежів"
4131	"Фондом Держмайна України або його регіональним відділенням"
2053	Хуліганство
4109	"Цілісни майнови комплекси"
1000	"Цивільні справи (до 01.01.2019)"
2034	Шахрайство
5123	"Спори про самочинне будівництво"
5124	"Спори про припинення права власності на земельну ділянку"
5125	"Спори про право власності та інші речові права на чуже майно"
5126	"Спори про право власності та інші речові права володіння чужим майном"
5127	"Спори про право власності та інші речові права з приводу сервітутів"
5128	"Спори щодо права користування чужою земельною ділянкою для сільськогосподарських потреб (емфітевзис)"
5129	"Спори про право користування чужою земельною ділянкою для забудови (суперфіцій)"
5130	"Спори про право інтелектуальної власності: спори про суміжні права"
5131	"Спори про право інтелектуальної власності: спори про торговельну марку та товарний знак"
5132	"Спори з приводу інших об`єктів промислової власності"
5133	"з них спори про відшкодування шкоди, заподіяної від нещасного випадку на виробництві та професійного захворювання, які спричинили втрату працездатності"
5134	"Спори, що виникають із договорів підряду"
5135	"Спори, пов’язані із застосуванням Закону України ”Про захист прав споживачів”"
5136	"Спори про недоговірні зобов`язання"
5137	"Спори про захист немайнових прав фізичних осіб"
5138	"Звільнення майна з-під арешту (виключення майна з опису)"
5139	"Справи про адмінправопорушення (до 01.01.2019)"
5140	"ЗУ ""Про боротьбу з корупцією"""
5648	"Інші справи"
5141	"Відповідальність керівників за невжиття заходів щодо боротьби з корупцією"
5142	"Відповідальність керівників за повторне невжиття заходів щодо бротьби з корупцією (у тому числі)"
5143	"Відповідальність за умисне невиконання своїх обов'язків щодо боротьби з корупцією"
5144	"Відповідальність за вчинення корупційних діянь"
5145	"Відповідальність за порушення спеціальних обмежень, установлених для осіб, уповноважених на виконання функцій держави"
5146	"Відповідальність за повторне порушення спеціальних обмежень, установлених для осіб, уповноважених на виконання функцій держави (у тому числі)"
5147	"Відповідальність керівників за порушення вимог фінансового контролю"
5148	"Порушення вимог законодавства про працю та про охорону праці"
5150	"Порушення чи невиконання колективного договору, угоди"
5151	"Ненадання інформації для ведення колективних переговорів і здійснення контролю за виконанням колективних договорів, угод"
5152	"Порушення санітарних норм"
5153	"Виробництво, заготівля, реалізація сільськогосподарської продукції, що містить хімічні препарати понад гранично допустимі рівні концентрації"
5154	"Заготівля, переробка або збут радіоактивно забруднених продуктів харчування чи іншої продукції"
5155	"Виробництво, зберігання, транспортування або реалізація продуктів харчування чи продовольчої сировини, забруднених мікроорганізмами та іншими біологічними агентами понад гранично допустимі рівні"
5156	"Незаконні виробництво, придбання, зберігання, перевезення, пересилання наркотичних засобів або психотропних речовин без мети збуту в невеликих розмірах"
3024	"ініціативних груп референдуму, інших суб'єктів ініціювання референдуму"
4046	"Інноваційна діяльність"
5000	Інші
4019	"Інші договори перевезення:"
4073	"Інші об'єкти пром. власності і розпоряд. правами на них"
4081	"Інші позадоговірні немайнові спори"
4026	"Інші пошкодження, втрати, псування вантажу"
4069	"Інші розрахунки за продукцію"
1021	"Інші справи"
1043	"Інші справи позовного провадження"
3001	"Інші справи"
4044	"Інша зовнішньоекономічна діяльність"
4125	Інше
4030	"Інше застосування податкового законодавства"
4115	"Інший акт, що видано Антимонопольним комітетом або його територіальним органом"
4047	"Інший майновий спір"
4084	"Інший позадоговірний немайновий спір"
4074	"Інший спір про інші об'єкти пром. власності і розпоряд. правами на них"
4009	"Інший спір про відшкодування шкоди"
4006	"Інший спір про виконання договору кредитування"
4013	"Інший спір про грошовий і валютний обіг"
4041	"Інший спір про збори"
4099	"Інший спір про купівлю - продаж"
4052	"Інший спір про митні платежи"
4104	"Інший спір про обіг цінних паперів"
4056	"Інший спір про обіг цінних паперів"
4106	"Інший спір про орендні правовідносини"
4063	"Інший спір про право власності на землю"
4089	"Інший спір про скасування державної реєстрації"
4079	"Інший спір про товарні марки і розпорядження правами на них"
4126	"Іншим державним органом"
3007	"інших нормативно-правових актів"
4064	"Іпотека і оренда землі"
3000	"Адміністративні справи (до 01.01.2019)"
4050	Акциз
4119	"Акцизний збір"
4113	"Антимонопольним комітетом або його територіальним органом"
2055	Бандитизм
4111	Банкрутство
4008	"Відшкодування шкоди"
4012	"Валютні розрахунки"
4103	Векселів
3022	"виборчих комісій, комісій з референдуму, їх членів"
2005	"Виготовлення, зберігання, придбання, перевезення, пресилання, ввезення в Україну з метою збуту або збут підроблених грошей, державних цінних парерів чи білетів державної лотереї"
1059	"Спори про право інтелектуальної власності: спори про право на винахід, корисну модель, промисловий зразок та раціоналізаторські пропозиції"
4002	"Виконання державних контрактів"
4003	"Виконання договору комісії"
4004	"Виконання договору контрактації"
4005	"Виконання договору кредитування"
2071	"Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів"
2040	"викрадення, привласнення, вимагання ВС зброї, бойових припасів, вибухових або інших бойових речовин, засобів пересування, військової та спеціальної техніки, а також заволодіння ними шляхом шахрайства або зловживання службовим становищем"
2056	"Викрадення, привласнення, вимагання вогнепальної зброї, бойових припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства або зловживання службовим становищем"
4051	"Вилучення майна (конфіскація)"
2029	Вимагання
4117	"Головним КРУ або його територіальним органом"
4000	"Господарські справи (до 01.01.2019)"
2030	Грабіж
4011	"Грошовий і валютний обіг, у тому числі:"
2050	Дезертирство
4118	"Держ.податковою адміністрацією або її територіальним органом"
3013	"державної виконавчої служби"
4123	"Держкомісією з цінних паперів та фондового ринку або її територіальним відділенням"
4124	"Держмитслужбою або її органом"
4017	"Договір підряду"
4092	"Договірні, переддоговірні немайнові, спори:"
4094	"Договір підряду"
4018	"Договори перевезення, у тому числі при:"
4021	"З них при перевезенні  автомобільним транспортом"
4022	"З них при перевезенні  залізницею"
4023	"З них при перевезенні  морським транспортом"
4024	"З них при перевезенні  повітряним транспортом"
4025	"З них при перевезенні  річковим транспортом"
4088	"За позовами органів ДПС"
4068	"За спожиті енергоносії"
3023	"засобів масової інформації, творчих працівників засобів масової інформації"
4027	"Застосування антимонопольного законодавства"
4028	"Застосування законодавства про приватизацію"
4029	"Застосування податкового законодавства"
5472	"Залишення гинучого військового корабля"
5473	"Самовільне залишення поля бою або відмова діяти зброєю"
5474	"Добровільна здача в полон"
5475	"Злочинні дії військовослужбовця, який перебуває в полоні"
5476	Мародерство
5477	"Насильство над населенням у районі воєнних дій"
5478	"Погане поводження з військовополоненими"
5479	"Незаконне використання символіки Червоного Хреста, Червоного Півмісяця, Червоного Кристала та зловживання ними"
5480	Найманство
5481	"Пропаганда війни"
5482	"Планування, підготовка, розв'язування та ведення агресивної війни"
5483	"Порушення законів та звичаїв війни"
5484	"Застосування зброї масового знищення"
5485	"Розроблення, виробництво, придбання, зберігання, збут, транспортування зброї масового знищення"
5486	Екоцид
5487	Геноцид
5488	"Посягання на життя представника іноземної держави"
5489	"Злочини проти осіб та установ, що мають міжнародний захист"
5490	"Незаконне використання символіки Червоного Хреста, Червоного Півмісяця, Червоного Кристала"
5491	Піратство
5492	"Перегляд постанови (ухвали) за нововиявленими (виключними) обставинами"
5493	"Істотні для справи обставини, що не були і не могли бути відомі особі, яка звертається із заявою, на час розгляду справи"
5494	"Встановлена вироком суду, що набрав законної сили, вина судді у вчиненні злочину, внаслідок якого було ухвалено незаконне або необґрунтоване рішення"
5495	"Скасування судового рішення, яке стало підставою для прийняття постанови чи постановлення ухвали, що належить переглянути"
5496	"Встановлена Конституційним Судом України неконституційність закону, іншого правового акта чи їх окремого положення, застосованого судом при вирішенні справи, якщо рішення суду ще не виконане"
5497	"Встановлені вироком суду, що набрав зак. сили, завідомо неправдиві показання свідка, завідомо неправ. висновок експерта, завідомо неправ. переклад, фальшивість документів або реч. доказів, що потягли за собою ухвалення незак. або необґрун. рішення"
5498	"Заява про забезпечення позову, доказів"
5499	"про забезпечення доказів"
5500	"про забезпечення позову"
5501	"про скасування заходів забезпечення позову"
5502	"Справи зі спорів з приводу забезпечення реалізації громадянами права голосу на виборах і референдумах, зокрема зі спорів щодо:"
5503	"виборів народних депутатів України, у тому числі:"
5504	"формування складу виборчих комісій"
5505	"висування та реєстрації кандидатів"
5506	"уточнення списків виборців"
5507	"проведення передвиборної агітації"
5508	"оскарження результатів виборів"
5509	"виборів Президента України, у тому числі:"
5510	"формування складу виборчих комісій"
5511	"висування та реєстрації кандидатів"
5512	"уточнення списків виборців"
5513	"проведення передвиборної агітації"
5514	"оскарження результатів виборів"
5515	"виборів депутатів Верховної Ради Автономної Республіки Крим, місцевих рад, сільських, селищних, міських голів, у тому числі:"
5516	"формування складу виборчих комісій"
5517	"висування та реєстрації кандидатів"
5518	"уточнення списків виборців"
5519	"проведення передвиборної агітації"
5520	"оскарження результатів виборів"
5521	"всеукраїнського та місцевого референдумів, у тому числі:"
5523	"формування складу комісій із референдуму"
5524	"уточнення списків виборців"
5525	"проведення агітації під час ініціювання та підготовки референдуму"
5526	"оскарження результатів референдуму"
5528	"збору та обліку єдиного внеску на загальнообов’язкове державне соціальне страхування"
5530	"загальнообов’язкового державного страхування від нещасних випадків на виробництві та професійних захворювань, які спричинили втрату працездатності"
5531	"загальнообов’язкового державного страхування у  зв'язку з тимчасовою втратою працездатності та витратами,  зумовленими похованням"
5532	"загальнообов’язкового державного страхування на випадок безробіття"
5533	"загальнообов’язкового державного пенсійного страхування, у тому числі пенсійного страхування осіб, звільнених з  публічної служби (військової служби)"
5534	"соціального захисту; соціального захисту та зайнятості інвалідів; соціальних послуг, у тому числі:"
5535	"соціального захисту дітей війни"
5536	"соціального захисту громадян, які постраждали внаслідок Чорнобильської катастрофи"
5537	"соціального захисту сімей із дітьми"
5539	"праці, зайнятості населення (крім зайнятості інвалідів); реалізації публічної житлової політики, у тому числі:"
5540	"праці, зайнятості населення (крім зайнятості інвалідів)"
5541	"реалізації публічної житлової політики"
5542	"Справи зі спорів з приводу забезпечення юстиції, зокрема спори у сфері:"
5543	судоустрою
5544	прокуратури
5545	адвокатури
5546	нотаріату
5547	"виконавчої служби та виконавчого провадження"
5548	"Справи зі спорів з відносин публічної служби, зокрема справи щодо:"
5549	"прийняття громадян на публічну службу"
5550	"проходження служби"
5551	"звільнення з публічної служби"
5552	"Справи зі спорів щодо оскарження актів, дій чи бездіяльності Верховної Ради України, Президента України, Вищої ради юстиції, Вищої кваліфікаційної комісії суддів України, а також справи про дострокове припинення повноважень народного депутата України"
5553	"оскарження актів, дій чи бездіяльності Верховної Ради України"
5554	"оскарження актів, дій чи бездіяльності Президента України"
5555	"оскарження актів, дій чи бездіяльності Вищої ради юстиції"
5556	"оскарження актів, дій чи бездіяльності Вищої кваліфікаційної комісії суддів України"
5557	"дострокове припинення повноважень народного депутата України"
